Hospital,Average_Billing,Total_Billing,Patient_Count
Garcia-Contreras,13328.060695101716,13328.060695101716,1
Garcia-Cox,29492.98538101165,58985.9707620233,2
Garcia-Crawford,18460.915625636157,18460.915625636157,1
Garcia-Davis,26342.195658111803,105368.78263244721,4
Garcia-Dougherty,24964.295574639844,49928.59114927969,2
Garcia-Duncan,5967.104728738881,5967.104728738881,1
Garcia-Erickson,-317.63292074791275,-317.63292074791275,1
Garcia-Farmer,33049.971787675524,66099.94357535105,2
Garcia-Faulkner,8490.069752804608,8490.069752804608,1
Garcia-Fleming,41791.683669078106,41791.683669078106,1
Garcia-Foster,7283.4646030381955,7283.4646030381955,1
Garcia-Frey,4048.692072170664,4048.692072170664,1
Garcia-Garcia,22828.20888803431,68484.62666410294,3
Garcia-George,49859.22467589113,49859.22467589113,1
Garcia-Gonzalez,21592.06452703316,21592.06452703316,1
Garcia-Graham,12166.260491474432,12166.260491474432,1
Garcia-Grant,47103.35221850106,94206.70443700212,2
Garcia-Gray,32377.210607695604,32377.210607695604,1
Garcia-Gross,11806.697637190247,11806.697637190247,1
Garcia-Hanna,36002.14629027542,36002.14629027542,1
Garcia-Harmon,34708.957005716686,34708.957005716686,1
Garcia-Harper,9534.350732114415,9534.350732114415,1
Garcia-Harris,43373.040837068416,43373.040837068416,1
Garcia-Hayes,4662.590621364971,4662.590621364971,1
Garcia-Henry,38454.12790953416,76908.25581906832,2
Garcia-Hines,10202.6886320927,10202.6886320927,1
Garcia-House,23012.089484936943,23012.089484936943,1
Garcia-Hughes,32956.1059598109,98868.3178794327,3
Garcia-Jackson,29168.04668668686,58336.09337337372,2
Garcia-Jacobs,50288.99246300997,50288.99246300997,1
Garcia-Jensen,6978.442452287054,6978.442452287054,1
Garcia-Johnson,32387.932894513604,64775.86578902721,2
Garcia-Jones,43579.9078706298,43579.9078706298,1
Garcia-Joseph,38759.82646274357,38759.82646274357,1
Garcia-Juarez,36028.85876909452,72057.71753818904,2
Garcia-Kelley,32421.97606711896,32421.97606711896,1
Garcia-Kidd,21956.00563412784,21956.00563412784,1
Garcia-King,41273.14640845077,41273.14640845077,1
Garcia-Kline,32913.23471676752,32913.23471676752,1
Garcia-Lambert,47934.65033431488,47934.65033431488,1
Garcia-Lawrence,30469.394290870438,30469.394290870438,1
Garcia-Leach,36333.75179645334,36333.75179645334,1
Garcia-Lee,25419.43572951301,25419.43572951301,1
Garcia-Lewis,37740.746268006245,37740.746268006245,1
Garcia-Lopez,41575.23708230828,41575.23708230828,1
Garcia-Mack,45039.99681987981,45039.99681987981,1
Garcia-Martin,45023.12247442617,45023.12247442617,1
Garcia-Martinez,9736.46473818994,9736.46473818994,1
Garcia-Mccullough,4073.064918042309,4073.064918042309,1
Garcia-Moore,20211.54554346272,40423.09108692544,2
Garcia-Mueller,44063.56100185936,44063.56100185936,1
Garcia-Murphy,38518.053530785626,38518.053530785626,1
Garcia-Newman,20408.800897521443,20408.800897521443,1
Garcia-Newton,28131.443751809868,28131.443751809868,1
Garcia-Nichols,22810.13596093742,22810.13596093742,1
Garcia-Nixon,8879.010395410422,8879.010395410422,1
Garcia-Norton,17663.403865476055,17663.403865476055,1
Garcia-Oliver,17441.76547407825,34883.5309481565,2
Garcia-Olson,23078.884047076062,23078.884047076062,1
Garcia-Palmer,50840.27571996674,50840.27571996674,1
Garcia-Parker,38850.77693095195,38850.77693095195,1
Garcia-Patterson,35737.37422702428,35737.37422702428,1
Garcia-Patton,8250.527133538764,8250.527133538764,1
Garcia-Paul,49366.02212135683,49366.02212135683,1
Garcia-Payne,37194.30591799747,37194.30591799747,1
Garcia-Ramirez,24353.64910126927,48707.29820253854,2
Garcia-Ramos,41216.61558951034,41216.61558951034,1
Garcia-Rivera,40568.43119897903,81136.86239795806,2
Garcia-Roberts,26969.681122522587,26969.681122522587,1
Garcia-Robinson,14117.30602143347,28234.61204286694,2
Garcia-Rodriguez,19603.35788518666,19603.35788518666,1
Garcia-Salazar,11999.881457578706,11999.881457578706,1
Garcia-Salinas,30052.980621173767,30052.980621173767,1
Garcia-Sanchez,34302.11109572091,34302.11109572091,1
Garcia-Silva,24602.376817316013,24602.376817316013,1
Garcia-Smith,39969.0204356857,79938.0408713714,2
Garcia-Soto,18522.685921820183,18522.685921820183,1
Garcia-Stewart,33635.629082390464,33635.629082390464,1
Garcia-Sullivan,11032.735777900678,11032.735777900678,1
Garcia-Thompson,5132.524553377074,5132.524553377074,1
Garcia-Trevino,12358.20240008313,12358.20240008313,1
Garcia-Underwood,3213.8017943939367,3213.8017943939367,1
Garcia-Valencia,13619.134351048351,13619.134351048351,1
Garcia-Valentine,31950.37437032361,31950.37437032361,1
Garcia-Villegas,9334.655506451594,9334.655506451594,1
Garcia-Wagner,20444.01802563826,20444.01802563826,1
Garcia-Wallace,41365.39564542695,41365.39564542695,1
Garcia-Warren,15263.689897475884,30527.37979495177,2
Garcia-Wells,34150.13374125888,68300.26748251775,2
Garcia-West,25072.60025608614,25072.60025608614,1
Garcia-Williams,29039.198441439064,58078.39688287813,2
Garcia-Williamson,34887.73637004011,34887.73637004011,1
Garcia-Yoder,2796.782327677443,2796.782327677443,1
Garcia-Yu,36441.6735030336,36441.6735030336,1
Garcia-Zimmerman,7128.8254483100245,7128.8254483100245,1
"Gardner Cook, and White",30105.604100265493,30105.604100265493,1
"Gardner Ferguson and Blankenship,",48014.58328180925,48014.58328180925,1
Gardner Group,26034.78332961707,78104.3499888512,3
"Gardner Harris, Wood and",11331.961601788533,11331.961601788533,1
Gardner LLC,16765.40969693196,16765.40969693196,1
Gardner Ltd,30404.94592623157,60809.89185246314,2
"Gardner Morris Lee, and",35215.5064721895,35215.5064721895,1
"Gardner Patton Zimmerman, and",11137.062188094536,22274.124376189073,2
"Gardner White, and Dominguez",43281.55775513341,43281.55775513341,1
"Gardner and Brown, Johnson",17966.87907845414,17966.87907845414,1
"Gardner and Contreras Miles,",7453.33839244794,7453.33839244794,1
"Gardner and Powers Scott,",36755.74884154947,73511.49768309895,2
"Gardner and Russell, Frazier",27921.228415440663,27921.228415440663,1
"Gardner, Bennett Ramirez and",31703.29884664318,31703.29884664318,1
"Gardner, Vaughn and Ramirez",2360.0431523840407,4720.086304768081,2
Gardner-Adams,6145.815779688944,6145.815779688944,1
Gardner-Bell,11290.802144865824,11290.802144865824,1
Gardner-Boone,12405.559276905997,12405.559276905997,1
Gardner-Brown,37164.17150544078,74328.34301088157,2
Gardner-Conley,9223.489431196089,18446.978862392178,2
Gardner-Dixon,46643.09716275312,46643.09716275312,1
Gardner-Humphrey,38224.49855144784,38224.49855144784,1
Gardner-Lopez,33710.74277508675,67421.4855501735,2
Gardner-Miller,32643.299353277187,32643.299353277187,1
Gardner-Morales,35431.57536059315,70863.1507211863,2
Gardner-Moreno,33056.65233528377,33056.65233528377,1
Gardner-Munoz,16680.060056396418,16680.060056396418,1
Gardner-Ross,47836.81764260069,47836.81764260069,1
Gardner-Scott,35688.108947196975,35688.108947196975,1
Gardner-Shaw,49945.2217664199,49945.2217664199,1
Gardner-Shelton,23853.544410807823,23853.544410807823,1
Gardner-Snyder,10707.378850439234,10707.378850439234,1
Gardner-Walsh,39232.800524449856,39232.800524449856,1
Gardner-Walters,24602.51235766304,24602.51235766304,1
Gardner-Watts,16527.557063350778,16527.557063350778,1
Gardner-Willis,17571.72787347508,17571.72787347508,1
"Garner Brown and Carter,",15932.83515517069,15932.83515517069,1
Garner Group,29082.994277373553,58165.988554747106,2
Garner Inc,13801.171659367357,41403.514978102074,3
Garner LLC,18683.517842550977,18683.517842550977,1
Garner Ltd,19489.33825407949,58468.01476223847,3
"Garner Martin Hall, and",41592.265460038936,41592.265460038936,1
"Garner Mendoza, Ward and",37628.82540316147,37628.82540316147,1
"Garner Palmer Oconnor, and",21104.033295724355,21104.033295724355,1
"Garner and Harris Stewart,",7364.794405035465,7364.794405035465,1
"Garner and Melton Holmes,",1372.1153518736196,1372.1153518736196,1
Garner and Sons,25803.423519992444,51606.84703998489,2
"Garner, and King Smith",41738.70742935922,41738.70742935922,1
Garner-Armstrong,42337.80641408708,42337.80641408708,1
Garner-Bowman,19746.83200760437,19746.83200760437,1
Garner-Collier,17975.32762576033,17975.32762576033,1
Garner-Flores,38217.624455837824,38217.624455837824,1
Garner-Hayes,37530.99747328821,37530.99747328821,1
Garner-Miles,3190.573494035205,3190.573494035205,1
Garner-Mitchell,24315.64674600058,24315.64674600058,1
Garner-Rowland,26860.21134229213,26860.21134229213,1
Garner-Wheeler,38100.87333253774,38100.87333253774,1
Garner-White,30709.33822424533,30709.33822424533,1
"Garrett Colon, Cole and",33982.26740815091,33982.26740815091,1
"Garrett Cortez, and Price",15294.204387634698,15294.204387634698,1
"Garrett Doyle and Gordon,",29526.06581076924,29526.06581076924,1
Garrett Group,10168.660111392985,30505.980334178952,3
Garrett Inc,31215.054210313858,62430.108420627716,2
"Garrett Johnson, and Lee",27158.97464115205,27158.97464115205,1
Garrett LLC,48511.61662731989,48511.61662731989,1
Garrett Ltd,29070.758850651346,116283.03540260538,4
"Garrett Martinez, Graham and",44563.2131165541,89126.4262331082,2
Garrett PLC,15004.995580536277,45014.98674160883,3
"Garrett Randall, Brown and",45024.14332155774,45024.14332155774,1
Garrett Sons and,33539.0831739696,33539.0831739696,1
"Garrett and Haney Martin,",27207.1205838054,27207.1205838054,1
"Garrett and Lawson, Quinn",17106.99511900697,17106.99511900697,1
"Garrett and Pierce, Sharp",7601.0107885260095,7601.0107885260095,1
Garrett and Sons,15256.476693143166,15256.476693143166,1
"Garrett, Nichols and Harrison",23118.77620970379,23118.77620970379,1
"Garrett, Patterson and Johnson",14157.32069238528,14157.32069238528,1
"Garrett, and Bullock Morales",27573.169193124908,27573.169193124908,1
"Garrett, and Daugherty Johnson",24886.255342635548,24886.255342635548,1
"Garrett, and Morales Myers",32210.948594985075,32210.948594985075,1
Garrett-Anderson,26253.821713006662,52507.643426013325,2
Garrett-Cox,45006.46473074314,90012.92946148627,2
Garrett-Edwards,12621.12199194285,12621.12199194285,1
Garrett-Hall,3049.966230057854,3049.966230057854,1
Garrett-Hernandez,46101.57430270632,92203.14860541264,2
Garrett-Jackson,9281.65799036361,9281.65799036361,1
Garrett-Jordan,5868.924642391093,5868.924642391093,1
Garrett-Kent,5634.311424079025,5634.311424079025,1
Garrett-Knight,34976.96210685444,34976.96210685444,1
Garrett-Logan,33396.15084374379,33396.15084374379,1
Garrett-Morgan,14537.287584486136,14537.287584486136,1
Garrett-Murray,13071.049274405206,13071.049274405206,1
Garrett-Schmidt,6729.478460586575,6729.478460586575,1
Garrett-Smith,28744.291988951685,28744.291988951685,1
"Garrison Davis, Garza and",1700.2118183352122,1700.2118183352122,1
"Garrison Gonzalez, and Gonzalez",11797.626787448453,11797.626787448453,1
Garrison LLC,28259.356850220403,28259.356850220403,1
Garrison Ltd,18222.12107709259,36444.24215418518,2
Garrison PLC,33988.58705380634,67977.17410761268,2
"Garrison Smith, Mitchell and",29588.03721745681,29588.03721745681,1
Garrison Sons and,43857.554675951,87715.109351902,2
"Garrison Strickland, White and",9622.94464764894,9622.94464764894,1
"Garrison Yates, Mcgee and",5628.833695147205,5628.833695147205,1
"Garrison and Palmer, Gallegos",41018.28202187191,41018.28202187191,1
"Garrison, Parsons and Jones",25121.768851723555,25121.768851723555,1
Garrison-Bruce,45769.6881429937,45769.6881429937,1
Garrison-Collier,39781.0243409144,39781.0243409144,1
Garrison-Crane,18209.624267072333,18209.624267072333,1
Garrison-Gomez,11282.66388075886,11282.66388075886,1
Garrison-Jackson,6453.081668793823,12906.163337587646,2
Garrison-Mcfarland,35317.49303975063,35317.49303975063,1
Garrison-Murillo,23111.24268045405,23111.24268045405,1
Garrison-Petersen,12599.868266482745,12599.868266482745,1
Garrison-Rodriguez,25804.598341575776,25804.598341575776,1
Garrison-Sandoval,25467.47160294477,25467.47160294477,1
Garza Group,33520.15231586983,234641.06621108885,7
Garza Inc,30247.954811412517,120991.81924565007,4
"Garza Jordan Harrington, and",37822.17961166732,37822.17961166732,1
"Garza Jordan, and Moore",297.93244539937234,297.93244539937234,1
Garza LLC,32005.179116940784,32005.179116940784,1
Garza Ltd,45546.67226914167,45546.67226914167,1
"Garza Moses Wilson, and",2214.329400489375,2214.329400489375,1
Garza PLC,19502.679138533495,58508.037415600484,3
"Garza Reed, and Freeman",9667.269270748808,9667.269270748808,1
"Garza Vazquez, Mcbride and",42969.06676144135,42969.06676144135,1
"Garza and Escobar, Chavez",25785.302028302154,25785.302028302154,1
"Garza and Johnson Gordon,",14953.952769176136,14953.952769176136,1
"Garza and Velasquez, White",42015.66599121457,42015.66599121457,1
"Garza, Carroll and Hernandez",2991.662522983619,2991.662522983619,1
"Garza, Farley and Ford",35743.59095461309,35743.59095461309,1
"Garza, Moore and Kennedy",8615.261936714182,8615.261936714182,1
"Garza, Morrow and Callahan",40566.504833114304,40566.504833114304,1
"Garza, Morton Freeman and",15107.748803971284,15107.748803971284,1
"Garza, Williams Walker and",5212.29557958128,5212.29557958128,1
"Garza, Young and Smith",19489.29294911217,19489.29294911217,1
Garza-Andrews,47426.80448251736,47426.80448251736,1
Garza-Bell,15931.84597942142,15931.84597942142,1
Garza-Costa,11524.623471492623,11524.623471492623,1
Garza-Gallagher,15593.968297845067,15593.968297845067,1
Garza-Garcia,39753.78580368832,39753.78580368832,1
Garza-Hayes,23876.81267205914,23876.81267205914,1
Garza-King,43767.82463259355,43767.82463259355,1
Garza-Leon,18371.422826868074,18371.422826868074,1
Garza-Lopez,15495.351884974258,15495.351884974258,1
Garza-Lucas,3043.5874491585696,3043.5874491585696,1
Garza-Marsh,12538.246298400049,12538.246298400049,1
Garza-Martin,38960.202988283694,38960.202988283694,1
Garza-Rodriguez,29626.72648553675,29626.72648553675,1
Garza-Sanchez,5302.090664292759,5302.090664292759,1
Garza-Scott,35901.4002630887,35901.4002630887,1
Garza-Strickland,34226.56018746313,34226.56018746313,1
Garza-Thompson,17064.11936246412,17064.11936246412,1
Garza-Wells,11076.78791561622,11076.78791561622,1
Garza-Williams,45198.888168390025,45198.888168390025,1
Garza-Yang,23654.09549693253,23654.09549693253,1
"Gates Brown, and Stuart",42684.55888455027,85369.11776910054,2
"Gates Francis and Scott,",10254.288630634184,10254.288630634184,1
Gates Group,14589.39225918467,43768.17677755401,3
Gates Inc,7761.276222397857,7761.276222397857,1
"Gates Johnson, and Velez",32174.872886923014,32174.872886923014,1
"Gates Lane, and Calhoun",26069.18025112899,26069.18025112899,1
"Gates Lopez, and Spencer",12835.492544713654,12835.492544713654,1
Gates Ltd,22503.869050582023,22503.869050582023,1
"Gates Price, Wheeler and",12181.544707630712,12181.544707630712,1
"Gates Robinson Lopez, and",21707.53025099864,21707.53025099864,1
Gates Sons and,25810.00809454526,51620.01618909052,2
"Gates Stuart and Kennedy,",12423.973796549972,12423.973796549972,1
"Gates Underwood, Coleman and",10768.308796446923,10768.308796446923,1
"Gates and Brown Patel,",5132.048251449698,10264.096502899396,2
"Gates and Davis, Thomas",31625.944253486294,31625.944253486294,1
"Gates and Roberson, Reynolds",13830.582836879708,13830.582836879708,1
"Gates, Cunningham Rubio and",5623.852164293091,5623.852164293091,1
"Gates, Hall and Anderson",48800.85470972558,48800.85470972558,1
"Gates, Jenkins Johnston and",15368.751217935886,15368.751217935886,1
Gates-Austin,21651.270161552424,21651.270161552424,1
Gates-Cannon,42448.54803139847,42448.54803139847,1
Gates-Green,26233.07051304551,52466.14102609102,2
Gates-Hill,18960.74379669415,18960.74379669415,1
Gates-Kramer,42470.77313782868,42470.77313782868,1
Gates-Lin,46113.96498116629,46113.96498116629,1
Gates-Lopez,20286.39222952273,20286.39222952273,1
Gates-Monroe,36979.88364604472,36979.88364604472,1
Gates-Stewart,19285.456104743345,19285.456104743345,1
Gay Inc,9482.02606296602,9482.02606296602,1
Gay-Jefferson,15015.726500193625,15015.726500193625,1
Gay-Johnson,6609.467440590158,6609.467440590158,1
"Gentry Cummings, Taylor and",7851.238405659023,7851.238405659023,1
Gentry Inc,21542.181783221367,21542.181783221367,1
"Gentry King, Moses and",40712.43322201126,40712.43322201126,1
Gentry Ltd,38439.88654751507,38439.88654751507,1
Gentry and Sons,26527.566389274754,53055.13277854951,2
"Gentry, Taylor Nash and",20968.593268783457,20968.593268783457,1
Gentry-Dyer,5131.87954978106,10263.75909956212,2
Gentry-Jones,435.5654504552647,435.5654504552647,1
Gentry-Martin,15238.0115362776,15238.0115362776,1
Gentry-Snyder,14738.594219355788,14738.594219355788,1
Gentry-Thompson,35190.49665754021,70380.99331508041,2
Gentry-Walker,17450.388114148955,17450.388114148955,1
"George Cole, Graham and",16212.066583483587,16212.066583483587,1
George Group,27624.164476821195,27624.164476821195,1
"George Hebert and Mitchell,",23177.86874808558,23177.86874808558,1
"George Henry Kelly, and",45755.44901858416,45755.44901858416,1
George Inc,29455.956834065335,58911.91366813067,2
"George Jones, and Walters",16631.20437341651,16631.20437341651,1
George LLC,40376.00147061778,121128.00441185334,3
"George Leach, Macdonald and",2628.392513422399,5256.785026844798,2
George Ltd,44684.952992857085,44684.952992857085,1
"George Moss Lopez, and",3140.6759196190524,3140.6759196190524,1
George PLC,26980.737690432616,107922.95076173046,4
"George Robinson, Ferguson and",44039.50950179961,44039.50950179961,1
"George Salazar Walker, and",14599.012157390682,14599.012157390682,1
"George Vasquez, Russell and",38397.83384919155,38397.83384919155,1
"George Ward, and Clark",33646.11409084555,33646.11409084555,1
"George Watson Vazquez, and",25394.71756409481,25394.71756409481,1
"George and Alvarez Hayes,",7911.35104318451,7911.35104318451,1
"George and Rodriguez Ballard,",48160.98719232148,48160.98719232148,1
George and Sons,23408.83754806301,23408.83754806301,1
"George, Leach Duncan and",10736.274302382526,10736.274302382526,1
George-Bishop,48762.80953225276,48762.80953225276,1
George-Brown,32248.76580855134,32248.76580855134,1
George-Chapman,20150.7991354472,20150.7991354472,1
George-Gonzalez,52102.24088919256,52102.24088919256,1
George-Hill,24629.67715607411,49259.35431214822,2
George-Lee,34436.3511184676,34436.3511184676,1
George-Moran,46905.26530214645,46905.26530214645,1
George-Parrish,24674.47040611564,24674.47040611564,1
George-Peck,17104.78013224214,17104.78013224214,1
George-Powell,32151.55564710061,32151.55564710061,1
George-Rosales,13981.689524551895,13981.689524551895,1
George-Smith,16099.392135177879,48298.17640553364,3
George-Vega,16373.874943829946,16373.874943829946,1
George-Walker,3404.4149486351544,3404.4149486351544,1
"Gibbs Castillo, and Ward",21528.98255906537,21528.98255906537,1
Gibbs Inc,21563.279415799363,43126.558831598726,2
Gibbs Ltd,32950.56958338613,32950.56958338613,1
Gibbs PLC,42008.07166880854,84016.14333761708,2
Gibbs Sons and,35475.30854430335,70950.6170886067,2
"Gibbs Ward and Ruiz,",19183.56926850844,19183.56926850844,1
"Gibbs and Gutierrez, Cook",43875.49734926064,43875.49734926064,1
"Gibbs, Evans Mack and",14703.929630400844,29407.859260801688,2
"Gibbs, and Rodriguez Koch",50057.82937807548,50057.82937807548,1
"Gibbs, and Thomas Clark",39520.28448699346,39520.28448699346,1
Gibbs-Alvarez,37176.731742792144,37176.731742792144,1
Gibbs-Bowman,46924.25544785368,46924.25544785368,1
Gibbs-Boyer,26794.92525245704,26794.92525245704,1
Gibbs-Brown,23476.97129966137,23476.97129966137,1
Gibbs-Holder,3502.514270211585,3502.514270211585,1
Gibbs-Johnson,50075.66168860039,50075.66168860039,1
Gibbs-Pena,20793.11478463536,20793.11478463536,1
Gibbs-Smith,15240.872969541411,15240.872969541411,1
Gibbs-Spencer,2800.4555134302045,2800.4555134302045,1
"Gibson Clarke, and Knox",22083.994715271278,22083.994715271278,1
"Gibson Horne Alexander, and",37769.3415746814,37769.3415746814,1
Gibson Inc,10820.118683881528,10820.118683881528,1
Gibson LLC,24276.23886849292,194209.91094794337,8
Gibson Ltd,26890.55082419972,161343.30494519832,6
"Gibson Marquez Andrews, and",47586.6286161581,47586.6286161581,1
"Gibson Roberson, and Jimenez",29212.67737654397,29212.67737654397,1
"Gibson and Cameron Mckee,",6216.6033529503175,6216.6033529503175,1
"Gibson and Kim, Bell",48980.59805265279,48980.59805265279,1
"Gibson and Palmer Garcia,",44466.65846026671,44466.65846026671,1
"Gibson, Hanson and Foster",40487.28335037521,40487.28335037521,1
"Gibson, Hendricks and Smith",46165.3742265148,46165.3742265148,1
"Gibson, Jimenez Brown and",11168.043910759772,11168.043910759772,1
"Gibson, Pearson and Pena",35431.690799089214,35431.690799089214,1
"Gibson, and Joseph Kennedy",14433.819033374086,14433.819033374086,1
Gibson-Allen,9144.56459515168,18289.12919030336,2
Gibson-Alvarez,40403.55890551002,40403.55890551002,1
Gibson-Banks,31701.931656603512,31701.931656603512,1
Gibson-Butler,31912.383337455576,31912.383337455576,1
Gibson-Chen,5794.478135973298,5794.478135973298,1
Gibson-Graham,23826.32951799153,23826.32951799153,1
Gibson-Harrell,7770.60118706042,7770.60118706042,1
Gibson-Hayden,43278.72541578326,43278.72541578326,1
Gibson-Howard,37800.12459206469,37800.12459206469,1
Gibson-Jones,34490.34265156411,34490.34265156411,1
Gibson-Lucas,14862.582593205376,29725.16518641075,2
Gibson-Meyer,47482.8202976216,47482.8202976216,1
Gibson-Mitchell,22662.04060668932,22662.04060668932,1
Gibson-Osborne,22827.81090323245,22827.81090323245,1
Gibson-Perry,6419.155205092002,6419.155205092002,1
Gibson-Russell,27518.052981580768,27518.052981580768,1
Gibson-Sullivan,5541.521828645788,5541.521828645788,1
Gibson-Thompson,32571.61208176665,32571.61208176665,1
Gibson-Wagner,34116.19419743259,34116.19419743259,1
Gibson-Wallace,35587.67692286025,35587.67692286025,1
Gibson-Weber,2539.8177156737074,2539.8177156737074,1
Gibson-Williams,4126.060592932026,4126.060592932026,1
"Gilbert Allen, Stone and",11829.402457179182,11829.402457179182,1
"Gilbert Copeland and Lee,",7196.034599405913,7196.034599405913,1
"Gilbert Garrett, and Harmon",4521.989981331324,4521.989981331324,1
Gilbert Group,22895.369864010252,45790.739728020504,2
Gilbert Inc,44533.70918157241,89067.41836314482,2
Gilbert LLC,9101.598839616716,9101.598839616716,1
Gilbert Ltd,30612.22014480924,275509.98130328313,9
Gilbert PLC,47686.25025696637,47686.25025696637,1
"Gilbert Parker, and Lucas",11506.802596734582,11506.802596734582,1
"Gilbert Robinson and Moore,",18274.517018485123,18274.517018485123,1
"Gilbert Shannon, Smith and",6559.389027488445,6559.389027488445,1
"Gilbert Smith Williams, and",12890.731081896813,12890.731081896813,1
"Gilbert and Downs, Henderson",24996.54293582407,24996.54293582407,1
"Gilbert and Miller Moore,",32787.74963781978,32787.74963781978,1
"Gilbert and Miller Neal,",17297.311364648274,17297.311364648274,1
"Gilbert, Brooks Peterson and",5544.369428350944,5544.369428350944,1
"Gilbert, Morgan and Bowman",26641.68101027124,26641.68101027124,1
"Gilbert, Savage Mays and",4714.13353933589,4714.13353933589,1
"Gilbert, Williams Ali and",12476.699707499723,12476.699707499723,1
Gilbert-Adams,6421.415994991493,6421.415994991493,1
Gilbert-Castaneda,36216.158358761466,36216.158358761466,1
Gilbert-Cross,11194.346726994956,11194.346726994956,1
Gilbert-Daniel,13970.41446130974,13970.41446130974,1
Gilbert-Davis,43654.28818187722,43654.28818187722,1
Gilbert-Evans,31621.70996058041,31621.70996058041,1
Gilbert-Garcia,12594.746193939962,12594.746193939962,1
Gilbert-Graham,9197.070687148667,9197.070687148667,1
Gilbert-Hall,10367.163364600532,10367.163364600532,1
Gilbert-Harmon,14062.483768559658,14062.483768559658,1
Gilbert-Jones,34967.12461735323,34967.12461735323,1
Gilbert-Jordan,32280.827053526955,32280.827053526955,1
Gilbert-King,23890.48217553204,23890.48217553204,1
Gilbert-Martinez,25959.38252201828,25959.38252201828,1
Gilbert-Miller,15516.290163189922,15516.290163189922,1
Gilbert-Morales,30108.941202262173,30108.941202262173,1
Gilbert-Salinas,1682.4881865457412,1682.4881865457412,1
Gilbert-Simmons,47330.49247749735,94660.9849549947,2
Gilbert-Singleton,48359.01059758572,48359.01059758572,1
Giles LLC,29716.80377768244,29716.80377768244,1
Giles Ltd,42553.80743260037,127661.42229780111,3
"Giles and Barnett Ortiz,",14281.1916626242,14281.1916626242,1
"Giles and Morton Reyes,",3952.2710256247633,3952.2710256247633,1
"Giles and Ortega, Bowen",5716.190969675182,5716.190969675182,1
Giles and Sons,45323.91461811975,90647.8292362395,2
"Giles, Thomas and Salas",32494.2283674322,32494.2283674322,1
Giles-Burke,13474.988866186572,13474.988866186572,1
Giles-Cannon,34874.65608548572,34874.65608548572,1
Giles-Cortez,19342.40206319241,19342.40206319241,1
Giles-Gonzalez,23576.05327632004,23576.05327632004,1
Giles-Miller,25856.22020448608,25856.22020448608,1
Giles-Smith,37239.7077035347,37239.7077035347,1
Giles-Taylor,16756.766461082807,16756.766461082807,1
Giles-Wilson,27772.05066901959,27772.05066901959,1
Gill Group,26516.642092591523,53033.284185183045,2
Gill Inc,18902.739808918555,56708.21942675567,3
"Gill Jackson and Mccoy,",1783.414063374314,1783.414063374314,1
Gill Ltd,28308.69614320639,113234.78457282556,4
Gill PLC,20237.08508828162,80948.34035312648,4
"Gill Roberson and Davis,",16999.798615334123,16999.798615334123,1
"Gill Wilson Conley, and",30887.886490101377,30887.886490101377,1
"Gill and Cook, Rowe",26130.227035639025,26130.227035639025,1
"Gill and Hanson Barrett,",18933.17764918541,18933.17764918541,1
"Gill and Mckinney Garcia,",43984.548617059474,43984.548617059474,1
"Gill, Jones Hill and",24692.77569422872,24692.77569422872,1
"Gill, and Casey Martinez",14361.086304076376,14361.086304076376,1
Gill-Andrews,19650.3313461662,19650.3313461662,1
Gill-Franklin,3367.3258781137665,3367.3258781137665,1
Gill-Fuller,14529.616187877333,14529.616187877333,1
Gill-Harris,31947.03127567457,31947.03127567457,1
Gill-Hernandez,9317.809986548737,18635.619973097473,2
Gill-Holmes,45595.77813247751,45595.77813247751,1
Gill-Hurley,18016.83092622606,18016.83092622606,1
Gill-Lawrence,26770.4140458718,53540.8280917436,2
Gill-Munoz,36766.17676007492,36766.17676007492,1
Gill-Peterson,9811.487769141368,9811.487769141368,1
Gill-Rollins,8130.641047165421,8130.641047165421,1
Gill-Snyder,35040.787998280546,35040.787998280546,1
Gill-Stewart,13906.706383289413,13906.706383289413,1
Gillespie LLC,35844.503211792915,71689.00642358583,2
"Gillespie and Cook Hancock,",6160.023738859544,6160.023738859544,1
"Gillespie, Gonzales and Blake",20969.247762614177,20969.247762614177,1
Gillespie-Edwards,43535.0903798821,43535.0903798821,1
Gillespie-Escobar,22853.163263893013,22853.163263893013,1
Gillespie-Lowe,38087.72809322353,38087.72809322353,1
Gillespie-Mason,20928.60492977446,20928.60492977446,1
Gillespie-Reed,5093.012291540426,5093.012291540426,1
Gillespie-Rogers,34846.25312821478,34846.25312821478,1
Gillespie-Scott,16679.494005049582,16679.494005049582,1
Gillespie-Zimmerman,1645.404545319976,1645.404545319976,1
Gilmore LLC,120.81641999674856,120.81641999674856,1
"Gilmore and Brown Meyer,",8583.518485646055,8583.518485646055,1
"Gilmore and Hernandez, Potter",40790.5657260132,40790.5657260132,1
"Gilmore and Ross Wheeler,",34322.19639786433,34322.19639786433,1
"Gilmore, Miller and Evans",20316.34062428489,20316.34062428489,1
Gilmore-Graham,35650.03632338619,71300.07264677239,2
Gilmore-Lane,44561.47390931614,44561.47390931614,1
Gilmore-Mills,10626.348202548212,10626.348202548212,1
Gilmore-Morrow,34466.867707638885,34466.867707638885,1
Gilmore-Richard,45722.15101605479,45722.15101605479,1
Gilmore-Tyler,46586.99517360198,46586.99517360198,1
Gilmore-Washington,30359.815406167923,30359.815406167923,1
Gilmore-Wilkins,43387.44621851704,43387.44621851704,1
